id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,['The Weeknd'],92,2020-03-20,0.514,0.73,1,-5.934,1,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4
1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,['Tones And I'],65,2019-05-10,0.826,0.593,6,-6.401,0,0.688,0.000161,0.17,0.541,98.083,209755,4
0nbXyq5TXYPCO7pr3N8S4I,The Box,['Roddy Ricch'],83,2019-12-06,0.896,0.586,10,-6.687,0,0.104,0.0,0.79,0.642,116.971,196653,4
2Wo6QQD1KMDWeFkkjLqwx5,Roses - Imanbek Remix,"['SAINt JHN', 'Imanbek']",62,2019-09-13,0.785,0.721,8,-5.457,1,0.0149,0.00432,0.285,0.894,121.962,176219,4
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,['Dua Lipa'],82,2020-03-27,0.793,0.793,11,-4.521,0,0.0123,0.0,0.0951,0.679,123.95,183290,4
7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']",84,2020-04-17,0.746,0.69,11,-7.956,1,0.247,0.0,0.101,0.497,89.977,181733,4
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,['Harry Styles'],89,2019-12-13,0.548,0.816,0,-4.209,1,0.122,0.0,0.335,0.557,95.39,174000,4
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),"['Powfu', 'beabadoobee']",85,2020-02-08,0.726,0.431,8,-8.765,0,0.731,0.0,0.696,0.348,144.026,173333,4
2rRJrJEo19S2J82BDsQ3F7,Falling,['Trevor Daniel'],36,2020-03-26,0.784,0.43,10,-8.756,0,0.123,0.0,0.0887,0.236,127.087,159382,4
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,['Lewis Capaldi'],87,2019-05-17,0.501,0.405,1,-5.679,1,0.751,0.0,0.105,0.446,109.891,182161,4
7k4t7uLgtOxPwTpFmtJNTY,Tusa,"['KAROL G', 'Nicki Minaj']",80,2019-11-07,0.803,0.715,2,-3.28,1,0.295,0.000134,0.0574,0.574,101.085,200960,4
696DnlkuDOXcMAnKlTgXXK,ROXANNE,['Arizona Zervas'],81,2019-10-10,0.621,0.601,6,-5.616,0,0.0522,0.0,0.46,0.457,116.735,163636,5
21jGcNKet2qwijlDFuPiPb,Circles,['Post Malone'],87,2019-09-06,0.695,0.762,0,-3.497,1,0.192,0.00244,0.0863,0.553,120.042,215280,4
