id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5reQI13tWWYDLMrGcUF4Mk,Nuestra Canción,Vicente Garcia,83,2015-06-16,0.906,0.731,6,-7.021,0,0.426,4.55e-06,0.0853,0.794,106.995,260080,4
6M47gaKejso9772SKTa3yH,Face Off,Dwayne Johnson,81,2021-10-08,0.693,0.935,8,-4.323,1,0.18,0.0,0.179,0.391,80.882,219802,4
4IhTXiZLKATmwhMZIb1GQN,Lights Are On,Tom Rosenthal,78,2018-10-26,0.44,0.04,3,-16.887,1,0.981,0.465,0.111,0.249,135.965,193749,4
15HMh4yxdf4wyxSZSlOgGZ,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Moliy,88,2021-09-16,0.859,0.525,1,-8.051,0,0.434,2.34e-05,0.108,0.312,110.066,204764,4
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,100,2021-10-14,0.604,0.366,5,-7.519,1,0.578,0.0,0.133,0.13,141.981,224695,4
6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),Polo G,89,2021-09-24,0.717,0.671,0,-5.077,0,0.0018,2.54e-06,0.0921,0.699,110.054,160657,4
6ZYv8ozQzQr1ClAe8dnUZN,Running Out Of Time,Leslie David Baker,65,2021-08-06,0.519,0.796,7,-6.336,1,0.00361,0.000788,0.087,0.201,136.142,134835,4
06eVs1T2bgsAsp0s9LUkg6,COMMA$,Whyandotte,40,2021-10-15,0.854,0.469,6,-3.608,0,0.0545,0.0,0.0637,0.352,139.68,166472,4
5MYFw4T2gy52pOGBN4EYHS,Stay Fly,Three 6 Mafia,73,2005-09-27,0.789,0.881,11,-5.758,1,0.109,0.0,0.355,0.647,133.299,236600,4
0eu4C55hL6x29mmeAjytzC,Life Goes On,Oliver Tree,93,2021-05-28,0.7,0.49,0,-5.187,1,0.186,0.0,0.117,0.569,79.982,161803,4
3BrWLBC4WYx393yRUOlTih,Meet Me At Our Spot - Live,Tyler Cole,76,2021-10-22,0.694,0.475,2,-7.035,1,0.159,3.9e-06,0.103,0.391,94.987,147829,4
40hZyHqbc95LHbHunHr1Lh,"The Sense of Me (From ""Life Is Strange"")",DOLKINS,35,2016-03-21,0.402,0.161,2,-19.248,0,0.00253,0.942,0.118,0.104,151.839,164083,4
1FssTKSXO3JLiQc3udfK5I,La Cumbia Tribalera,Grupo Violento,59,2012-03-20,0.834,0.775,0,-6.144,0,0.00694,2.42e-05,0.476,0.767,133.979,220227,4
